단품코드,항만_재고,부평_재고,내부창고_합계
SPRPG37KU410130,2,0,2
SPRPG37KU410140,46,0,46
SPRPG37KU410150,22,0,22
SPRPG37KU410160,6,0,6
SPRPG37KU450110,84,0,84
SPRPG37KU450120,136,2,138
SPRPG37KU450130,64,0,64
SPRPG37KU450140,98,0,98
SPRPG37KU450150,28,0,28
SPRPG37KU450160,4,0,4
SPRPG37KU459110,92,0,92
SPRPG37KU459120,118,0,118
SPRPG37KU459130,42,0,42
SPRPG37KU459140,76,0,76
SPRPG37KU459150,122,0,122
SPRPG37KU459160,288,0,288
SPRPG37KU4AA110,34,0,34
SPRPG37KU4AA120,214,0,214
SPRPG37KU4AA140,12,20,32
SPRPG37KU4AA150,74,0,74
SPRPG37KU4AA160,8,10,18
SPRPG37KU4BM110,2,0,2
SPRPG37KU4BM130,6,0,6
SPRPG37KU4BM150,2,0,2
SPRPG37KU4BM160,2,0,2
SPRPG37KU519120,10,0,10
SPRPG37KU519130,20,0,20
SPRPG37KU519140,20,0,20
SPRPG37KU519150,20,0,20
SPRPG37KU519160,22,0,22
SPRPG37KU526120,20,0,20
SPRPG37KU526130,20,0,20
SPRPG37KU526140,20,0,20
SPRPG37KU526150,26,0,26
SPRPG37KU610160,4,0,4
SPRPG37KU630120,8,0,8
SPRPG37KU630130,68,0,68
SPRPG37KU630140,44,0,44
SPRPG37KU630150,32,0,32
SPRPG37KU630160,12,0,12
SPRPG37KU6AA130,48,0,48
SPRPG37KU6AA140,50,0,50
SPRPG37KU6AA150,22,0,22
SPRPG37KU6AA160,24,0,24
SPRPG37KU710150,2,0,2
SPRPG37KU7AA160,6,0,6
SPRPG37KU810120,20,0,20
SPRPG37KU810130,26,0,26
SPRPG37KU810140,38,0,38
SPRPG37KU810150,42,0,42
SPRPG37KU810160,22,0,22
SPRPG37KU820120,10,0,10
SPRPG37KU820130,26,0,26
SPRPG37KU820140,26,0,26
SPRPG37KU820150,24,0,24
SPRPG37KU820160,24,0,24
SPRPG37KU831120,12,0,12
SPRPG37KU831130,30,0,30
SPRPG37KU831140,22,0,22
SPRPG37KU831150,28,0,28
SPRPG37KU831160,10,0,10
SPRPG37KU950130,12,0,12
SPRPG37KU950140,20,0,20
SPRPG37KU950150,20,0,20
SPRPG37KU950160,44,0,44
SPRPG37KU959130,10,0,10
SPRPG37KU959140,10,0,10
SPRPG37KU959150,16,0,16
SPRPG37KU959160,20,0,20
SPRPG37KU9AC130,10,0,10
SPRPG37KU9AC140,10,0,10
SPRPG37KU9AC150,10,0,10
SPRPG37KU9AC160,10,0,10
SPRPG38C9159090,592,0,592
SPRPG38C9159095,340,0,340
SPRPG38C9159100,452,0,452
SPRPG38C9159105,226,0,226
SPRPG38C91AA090,354,0,354
SPRPG38C91AA095,200,0,200
SPRPG38C91AA100,200,0,200
SPRPG38C91AA105,254,0,254
SPRPG38C9259090,462,0,462
SPRPG38C9259095,284,0,284
SPRPG38C9259100,300,0,300
SPRPG38C9259105,366,0,366
SPRPG38C92AA090,436,2,438
SPRPG38C92AA095,324,0,324
SPRPG38C92AA100,252,0,252
SPRPG38C92AA105,196,0,196
SPRPG38C9310090,716,0,716
SPRPG38C9310095,528,0,528
SPRPG38C9310100,394,0,394
SPRPG38C9310105,336,0,336
SPRPG38C9319090,418,34,452
SPRPG38C9319095,390,8,398
SPRPG38C9319100,348,0,348
SPRPG38C9319105,230,20,250
SPRPG38C93AA090,500,16,516
SPRPG38C93AA095,390,22,412
SPRPG38C93AA100,276,16,292
SPRPG38C93AA105,222,20,242
SPRPG38C9410090,148,0,148
SPRPG38C9410095,194,0,194
SPRPG38C9410100,90,0,90
SPRPG38C9410105,84,0,84
SPRPG38C94AA090,186,2,188
SPRPG38C94AA095,170,0,170
SPRPG38C94AA100,148,0,148
SPRPG38C94AA105,206,0,206
