exec_id,단품코드,채널,전일재고_장,이동IN_장,정상가,실제판매_장,추가판매_장
1,SPRWG25C02AD095,이랜드몰,0,8,15900,0,0
1,SPRWG25C02AD100,이랜드몰,0,13,15900,0,0
1,SPRWG25G0360085,이랜드몰,0,2,25900,1,1
1,SPRWG25G0785085,이랜드몰,0,2,25900,0,0
1,SPRWG37C0259095,이랜드몰,0,3,25900,0,0
1,SPRWG37G0135085,이랜드몰,0,4,25900,0,0
1,SPRWG37G0135090,이랜드몰,0,10,25900,0,0
1,SPRWG37G0139085,이랜드몰,0,8,25900,0,0
1,SPRWG37G0185090,이랜드몰,0,3,25900,0,0
1,SPRWG37G0259095,이랜드몰,0,4,19900,0,0
1,SPRWG37G0735070,이랜드몰,0,2,35900,0,0
1,SPRWG37G1129085,이랜드몰,0,4,25900,2,2
1,SPRWG37G1129090,이랜드몰,0,6,25900,1,1
1,SPRWG37G1139085,이랜드몰,0,7,25900,1,1
1,SPRWG37G1139090,이랜드몰,0,6,25900,0,0
1,SPRWG37G1139095,이랜드몰,0,8,25900,0,0
1,SPRWG37G1159085,이랜드몰,0,5,25900,0,0
1,SPRWG37G1159090,이랜드몰,0,9,25900,1,1
1,SPRWG37G1159095,이랜드몰,0,11,25900,1,1
1,SPRWG37G11AC085,이랜드몰,0,7,25900,2,2
1,SPRWG37G11AC090,이랜드몰,0,10,25900,0,0
1,SPRWG37G11AC095,이랜드몰,0,11,25900,3,3
1,SPRWG37G1210090,이랜드몰,0,17,19900,1,1
1,SPRWG37G1210095,이랜드몰,0,9,19900,0,0
1,SPRWG37G1210100,이랜드몰,0,10,19900,0,0
1,SPRWG37G1259100,이랜드몰,0,3,19900,0,0
1,SPRWG37G1299095,이랜드몰,0,3,19900,0,0
1,SPRWG37G3060085,이랜드몰,0,3,25900,1,1
1,SPRWG37G3060090,이랜드몰,0,3,25900,0,0
1,SPRWG37G3060095,이랜드몰,0,3,25900,3,3
1,SPRWG37G3219085,이랜드몰,0,4,25900,1,1
1,SPRWG37G3219090,이랜드몰,0,3,25900,1,1
1,SPRWG37G3264085,이랜드몰,0,2,25900,0,0
1,SPRWG37WS310085,이랜드몰,0,8,19900,0,0
1,SPRWGA9KU210160,이랜드몰,0,6,19900,1,1
1,SPTAG23W1260075,이랜드몰,0,2,39900,0,0
1,SPTAG25W04AC080,이랜드몰,0,2,49900,1,1
1,SPTAG25W1133080,이랜드몰,0,9,39900,0,0
1,SPTAG25W1203070,이랜드몰,0,2,49900,1,1
1,SPTAG25W1203075,이랜드몰,0,2,49900,0,0
1,SPTAG25W1203080,이랜드몰,0,2,49900,0,0
1,SPTAG25W1259070,이랜드몰,0,1,49900,1,1
1,SPTAG25W1259075,이랜드몰,0,1,49900,0,0
1,SPTAG25W1259080,이랜드몰,0,1,49900,0,0
1,SPTAG37W9119999,이랜드몰,0,2,39900,0,0
1,SPTAG38M1219085,이랜드몰,0,3,39900,1,1
1,SPTCG23CY164082,이랜드몰,0,6,49900,0,0
1,SPTCG23G0519070,이랜드몰,0,1,49900,1,1
1,SPTCG24C0119075,이랜드몰,0,3,39900,0,0
1,SPTCG24G9115070,이랜드몰,0,1,49900,0,0
1,SPTCG24G9119070,이랜드몰,0,5,49900,0,0
1,SPTCG24W9135075,이랜드몰,0,4,39900,0,0
1,SPTCG24W9159070,이랜드몰,0,4,39900,0,0
1,SPTCG25C0319082,이랜드몰,0,4,49900,0,0
1,SPTCG25G0215073,이랜드몰,0,1,49900,0,0
1,SPTCG25G0235073,이랜드몰,0,2,49900,0,0
1,SPTCG25G1125070,이랜드몰,0,5,39900,1,1
1,SPTCG25G1125075,이랜드몰,0,5,39900,0,0
1,SPTCG25G1219065,이랜드몰,0,4,39900,3,3
1,SPTCG25G1219075,이랜드몰,0,4,39900,4,4
1,SPTCG25G1219080,이랜드몰,0,6,39900,2,2
1,SPTCG25W0135073,이랜드몰,0,2,49900,0,0
1,SPTCG37C0303078,이랜드몰,0,6,49900,0,0
1,SPTCG37C0319078,이랜드몰,0,6,49900,0,0
1,SPTCG37G1110065,이랜드몰,0,2,39900,1,1
1,SPTCG37G1110070,이랜드몰,0,2,39900,2,2
