단품코드,단품명,정상가,매출랭킹,온라인랭킹,출고율,온라인비중,누판율,주판율,주간외형매출,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기
SPSMG37KU319110,"[키즈] (산리오캐릭터즈) 반팔 데님 상하세, (19)",0,9999,9999,0.92,0.7,0.5,0.15,0,45,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0
SPSMG37KU319120,"[키즈] (산리오캐릭터즈) 반팔 데님 상하세, (19)",0,9999,9999,0.92,0.7,0.5,0.15,0,25,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0
SPSMG37KU319130,"[키즈] (산리오캐릭터즈) 반팔 데님 상하세, (19)",0,9999,9999,0.92,0.7,0.5,0.15,0,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
SPSMG37KU319140,,35910,6388,6388,0.92,0.7,0.5,0.15,35910,0,2,3,3,0,0,0,0,0,0,1,0,0,0,0,0
SPSMG37KU319150,"[키즈] (산리오캐릭터즈) 반팔 데님 상하세, (19)",0,9999,9999,0.92,0.7,0.5,0.15,0,53,9,10,3,0,0,0,0,0,0,0,0,0,0,0,0
SPSMG37KU319160,"[키즈] (산리오캐릭터즈) 반팔 데님 상하세, (19)",0,9999,9999,0.92,0.7,0.5,0.15,0,21,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
SPSMG37KU326110,"[키즈] (산리오캐릭터즈) 반팔 데, (26)Light",0,9999,9999,0.92,0.7,0.5,0.15,0,3,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0
SPSMG37KU326120,"[키즈] (산리오캐릭터즈) 반팔 데, (26)Light",0,9999,9999,0.92,0.7,0.5,0.15,0,15,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0
SPSMG37KU326130,"[키즈] (산리오캐릭터즈) 반팔 데, (26)Light",0,9999,9999,0.92,0.7,0.5,0.15,0,3,5,10,3,0,0,0,0,0,0,0,0,0,0,0,0
SPSMG37KU326140,"[키즈] (산리오캐릭터즈) 반팔 데, (26)Light",0,9999,9999,0.92,0.7,0.5,0.15,0,40,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0
SPSMG37KU326150,"[키즈] (산리오캐릭터즈) 반팔 데, (26)Light",0,9999,9999,0.92,0.7,0.5,0.15,0,20,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0
SPSMG37KU326160,"[키즈] (산리오캐릭터즈) 반팔 데, (26)Light",0,9999,9999,0.92,0.7,0.5,0.15,0,17,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0
SPSMG37KU351110,"[키즈] (산리오캐릭터즈) 반팔 데, (51)Light",0,9999,9999,0.92,0.7,0.5,0.15,0,18,5,0,3,0,5,0,0,0,0,0,0,0,0,0,0
SPSMG37KU351120,"[키즈] (산리오캐릭터즈) 반팔 데, (51)Light",0,9999,9999,0.92,0.7,0.5,0.15,0,7,0,5,3,0,5,0,0,0,0,0,0,0,0,0,0
SPSMG37KU351130,"[키즈] (산리오캐릭터즈) 반팔 데, (51)Light",37240,3450,3450,0.92,0.7,0.5,0.15,111720,348,3,9,4,0,25,0,0,0,0,2,0,1,0,0,0
SPSMG37KU351140,"[키즈] (산리오캐릭터즈) 반팔 데, (51)Light",35910,6389,6389,0.92,0.7,0.5,0.15,35910,88,5,14,3,0,15,0,0,0,0,1,0,0,0,0,0
SPSMG37KU351150,"[키즈] (산리오캐릭터즈) 반팔 데, (51)Light",0,9999,9999,0.92,0.7,0.5,0.15,0,16,5,10,3,0,10,0,0,0,0,0,0,0,0,0,0
SPSMG37KU351160,"[키즈] (산리오캐릭터즈) 반팔 데, (51)Light",39900,5769,5769,0.92,0.7,0.5,0.15,39900,86,2,4,3,0,15,0,0,0,0,0,1,0,0,0,0
SPTAG12W9160070,"(QR) 벨티드 투턱 와이드 슬랙스, (60)Charc",0,9999,9999,0.92,0.7,0.5,0.15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPTAG12W9160075,"(QR) 벨티드 투턱 와이드 슬랙스, (60)Charc",0,9999,9999,0.92,0.7,0.5,0.15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPTAG12W9160080,"(QR) 벨티드 투턱 와이드 슬랙스, (60)Charc",0,9999,9999,0.92,0.7,0.5,0.15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPTAG12W9185070,"(QR) 벨티드 투턱 와이드 슬랙스, (85)Brown",0,9999,9999,0.92,0.7,0.5,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPTAG12W9185075,"(QR) 벨티드 투턱 와이드 슬랙스, (85)Brown",0,9999,9999,0.92,0.7,0.5,0.15,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
SPTAG12W9185080,"(QR) 벨티드 투턱 와이드 슬랙스, (85)Brown",0,9999,9999,0.92,0.7,0.5,0.15,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
SPTAG23M4119074,"히든밴딩 스트레이트 슬랙스, (19)Black, 74",19900,7528,7528,0.92,0.7,0.5,0.15,19900,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0
SPTAG23M4119078,,19900,6061,6061,0.92,0.7,0.5,0.15,39800,0,1,1,0,0,8,0,0,0,0,0,0,1,0,1,0
SPTAG23M4119082,,19900,4252,4252,0.92,0.7,0.5,0.15,79600,0,0,2,3,0,6,0,0,0,0,1,0,0,0,3,0
SPTAG23M4119086,,17638,6520,6520,0.92,0.7,0.5,0.15,35276,0,0,1,0,0,4,0,0,0,0,2,-1,0,0,1,0
SPTAG23M4160074,,19900,7529,7529,0.92,0.7,0.5,0.15,19900,0,2,1,2,0,19,0,0,0,0,0,0,0,0,1,0
SPTAG23M4160078,,20900,7301,7301,0.92,0.7,0.5,0.15,20900,0,6,1,3,0,17,0,0,0,0,-1,0,2,0,0,0
SPTAG23M4160082,"히든밴딩 스트레이트 슬랙스, (60)Charcoal, ",19104,4341,4341,0.92,0.7,0.5,0.15,76416,0,0,1,4,0,16,0,0,0,0,2,-1,0,0,3,0
SPTAG23M4160086,,19900,7530,7530,0.92,0.7,0.5,0.15,19900,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0
SPTAG23M4160090,,0,9999,9999,0.92,0.7,0.5,0.15,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
SPTAG23M5119074,"히든밴딩 와이드 슬랙스, (19)Black, 74",16915,7858,7858,0.92,0.7,0.5,0.15,16915,1,6,1,9,0,24,0,0,0,0,2,-1,0,0,0,0
