매출랭킹,온라인랭킹,단품코드,단품명,정상가,출고율,누판율,주판율,온라인비중,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버
7824,7824,SPRLG11U0110100,"[하츠네미쿠] 반팔 티셔츠, L, (",29900,1.0,0.8986,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0110105,"[하츠네미쿠] 반팔 티셔츠, XL,",29900,1.0219,0.8932,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0110110,"[하츠네미쿠] 반팔 티셔츠, XXL,",29900,1.0,0.8848,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0119090,"[하츠네미쿠] 반팔 티셔츠, S, (",29900,0.996,0.84,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0119095,"[하츠네미쿠] 반팔 티셔츠, M, (",29900,0.9978,0.8664,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0119100,"[하츠네미쿠] 반팔 티셔츠, L, (",29900,0.9987,0.8485,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0119105,"[하츠네미쿠] 반팔 티셔츠, XL,",29900,1.0,0.8381,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0119110,"[하츠네미쿠] 반팔 티셔츠, XXL,",29900,1.0,0.8381,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0210090,"[은혼] 반팔 티셔츠, S, (10)",25900,1.0,1.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0210095,"[은혼] 반팔 티셔츠, M, (10)",25900,1.0,0.9785,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0210100,"[은혼] 반팔 티셔츠, L, (10)",25900,1.0,1.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0210105,"[은혼] 반팔 티셔츠, XL, (10",25900,1.0,0.9839,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0310095,"[헌터X헌터] 반팔 티셔츠, M, (",25900,0.9988,0.9977,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0310100,"[헌터X헌터] 반팔 티셔츠, L, (",25900,1.0,0.9884,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0310105,"[헌터X헌터] 반팔 티셔츠, XL,",25900,1.0021,0.9979,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0319090,"[헌터X헌터] 반팔 티셔츠, S, (",25900,1.0,0.9931,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0319095,"[헌터X헌터] 반팔 티셔츠, M, (",25900,0.9979,0.9918,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0319100,"[헌터X헌터] 반팔 티셔츠, L, (",25900,1.0,0.9981,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0319105,"[헌터X헌터] 반팔 티셔츠, XL,",25900,1.0,0.9942,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0350090,"[헌터X헌터] 반팔 티셔츠, S, (",25900,1.0,0.4355,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0350095,"[헌터X헌터] 반팔 티셔츠, M, (",25900,1.0,0.4457,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0350100,"[헌터X헌터] 반팔 티셔츠, L, (",25900,1.0,0.587,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0350105,"[헌터X헌터] 반팔 티셔츠, XL,",25900,1.0,0.9688,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0360090,"[헌터X헌터] 반팔 티셔츠, S, (",25900,1.0,1.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0360095,"[헌터X헌터] 반팔 티셔츠, M, (",25900,1.0,0.9906,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0360100,"[헌터X헌터] 반팔 티셔츠, L, (",25900,1.0048,0.9952,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0360105,"[헌터X헌터] 반팔 티셔츠, XL,",25900,1.0,0.9718,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U03CH090,"[헌터X헌터] 반팔 티셔츠, S, (",25900,1.0071,0.9858,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U03CH095,"[헌터X헌터] 반팔 티셔츠, M, (",25900,0.9958,0.979,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U03CH100,"[헌터X헌터] 반팔 티셔츠, L, (",25900,1.0,0.9923,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
